tier,tier_label,f,condition,n,gap,lo,hi,includes_zero,clean_logprob
1,GSM8K,0.0,ctrl_random,12,0.2559641573558717,-2.5060967781891423,2.9107505769107473,True,-4.369336498406483
1,GSM8K,0.25,ctrl_random,12,0.2777936256340278,-2.1108071878831955,2.9657098964923843,True,-4.451034824409969
1,GSM8K,0.5,ctrl_random,12,-0.09684309914397697,-2.3328002788145867,1.949222147569527,True,-4.50293586209106
1,GSM8K,0.75,ctrl_random,12,0.8865818415846055,-0.5216370955643166,2.321966136415237,True,-2.4384460132181025
1,GSM8K,1.0,ctrl_random,12,0.06027579587364299,0.017195783325147988,0.12107815841404133,False,-2.576211175941978e-06
2,MATH L1-2,0.0,ctrl_random,12,1.4254446332342923,-0.47123272822548945,3.3361256203303737,True,-3.9611817891709507
2,MATH L1-2,0.25,ctrl_random,12,0.8766075646174917,-0.8183834601310082,2.317273163901458,True,-3.17542906847666
2,MATH L1-2,0.5,ctrl_random,12,1.066049768610356,-0.5061000837919285,2.2962689790068915,True,-2.7944765373234373
2,MATH L1-2,0.75,ctrl_random,12,1.2262460236588595,-0.6139656624437368,2.647186240179281,True,-2.5794295723399046
2,MATH L1-2,1.0,ctrl_random,12,1.8523611303947025,0.9462731141166278,2.8364982578558933,False,-1.1821266738480176
3,MATH L3,0.0,ctrl_random,12,1.736711782413219,0.21093436877925645,3.360944273208573,False,-4.362350342474883
3,MATH L3,0.25,ctrl_random,12,1.6469473584074876,0.6978444291899603,2.7000754971477363,False,-3.7579272147437828
3,MATH L3,0.5,ctrl_random,12,1.775739911119975,0.9924711171517628,2.6961913416420433,False,-3.5702412496796874
3,MATH L3,0.75,ctrl_random,12,1.2479186020870354,0.35372005073974533,2.246204743429159,False,-3.78512287014928
3,MATH L3,1.0,ctrl_random,12,1.4085278103364278,0.6726191106451798,2.3202892308379037,False,-2.1627300471141666
4,MATH L4,0.0,ctrl_random,12,1.3080810836642438,0.44437867921175594,2.2668996248704696,False,-3.6162113615185567
4,MATH L4,0.25,ctrl_random,12,0.7003876613453031,0.19558279538371912,1.2029436388906714,False,-3.3702370328828692
4,MATH L4,0.5,ctrl_random,12,0.9618153927537302,0.5411662935861387,1.3641163728510342,False,-2.9013039908992746
4,MATH L4,0.75,ctrl_random,12,0.7643031337696206,0.2012065452508978,1.3054890646857529,False,-2.942229304826469
4,MATH L4,1.0,ctrl_random,12,1.246994715352437,0.5496635923543233,1.900428423168733,False,-1.4956249034210234
5,MATH L5,0.0,ctrl_random,12,0.4771860788870678,-0.4425280241326883,1.3071771709884425,True,-4.4800115972152526
5,MATH L5,0.25,ctrl_random,12,0.7313724516425282,-0.023709450516616926,1.4475424373832841,True,-3.438164923728133
5,MATH L5,0.5,ctrl_random,12,0.5163815789856017,-0.13523776804407436,1.1773743443734324,True,-3.5848632878623903
5,MATH L5,0.75,ctrl_random,12,0.6288374816067517,-0.18347587526465453,1.4905327906172412,True,-2.8402394691171744
5,MATH L5,1.0,ctrl_random,12,1.3607196632923053,0.5013150094088512,2.1633098922740226,False,-1.1632919474044077
6,AIME,0.0,ctrl_random,12,1.9782998065153758,1.104766846696536,2.9579657725989823,False,-2.5767558912436166
