tier,tier_label,f,condition,n,gap,lo,hi,includes_zero,clean_logprob
1,GSM8K,0.0,ctrl_rank,12,0.6170466317465374,-0.6727680694311857,1.9883556066054264,True,-4.369336498406483
1,GSM8K,0.25,ctrl_rank,12,1.530043899656448,-0.20403710705850242,3.680322172723027,True,-4.451034824409969
1,GSM8K,0.5,ctrl_rank,12,1.549705748213455,-0.7879681653808802,4.100945616220513,True,-4.50293586209106
1,GSM8K,0.75,ctrl_rank,12,1.5096772381960666,0.4000545205340738,2.8324486976860195,False,-2.4384460132181025
1,GSM8K,1.0,ctrl_rank,12,-8.526750946794929e-07,-5.34305632129417e-06,3.865936668893492e-06,True,-2.576211175941978e-06
2,MATH L1-2,0.0,ctrl_rank,12,0.8903395438299716,-0.435570941099085,2.2459292801756723,True,-3.9611817891709507
2,MATH L1-2,0.25,ctrl_rank,12,1.3347511688391667,0.5545917552456321,2.105482549357813,False,-3.17542906847666
2,MATH L1-2,0.5,ctrl_rank,12,0.40608978397752543,-0.6521832430884692,1.2544276680125679,True,-2.7944765373234373
2,MATH L1-2,0.75,ctrl_rank,12,1.0960355212750696,0.33871939851364213,1.9134775512435251,False,-2.5794295723399046
2,MATH L1-2,1.0,ctrl_rank,12,0.5440659505453217,0.0620874568154728,1.1142313368554018,False,-1.1821266738480176
3,MATH L3,0.0,ctrl_rank,12,0.010608794481413497,-1.4813337612857747,1.4215349265103219,True,-4.362350342474883
3,MATH L3,0.25,ctrl_rank,12,0.3050877929805722,-0.2612772220124801,0.8942860421714219,True,-3.7579272147437828
3,MATH L3,0.5,ctrl_rank,12,0.19805857064875454,-0.4003954348295793,0.8143730345917372,True,-3.5702412496796874
3,MATH L3,0.75,ctrl_rank,12,0.9466457070817947,0.033505251517014285,1.9386445019292298,False,-3.78512287014928
3,MATH L3,1.0,ctrl_rank,12,0.2573311223051202,-0.16811670248650284,0.6714702828753433,True,-2.1627300471141666
4,MATH L4,0.0,ctrl_rank,12,0.9253196320399487,0.06741505883595286,1.7780942637473347,False,-3.6162113615185567
4,MATH L4,0.25,ctrl_rank,12,1.1490084789693356,0.10409360080957415,2.482496100571007,False,-3.3702370328828692
4,MATH L4,0.5,ctrl_rank,12,1.0392835104527574,0.3399925033329055,1.7784976356546396,False,-2.9013039908992746
4,MATH L4,0.75,ctrl_rank,12,0.9575300523421788,0.2853292820587242,1.678259763779242,False,-2.942229304826469
4,MATH L4,1.0,ctrl_rank,12,0.8994744852317277,0.215755649274254,1.7346665573510716,False,-1.4956249034210234
5,MATH L5,0.0,ctrl_rank,12,0.36805144951745206,-1.106292614339291,1.9772767806322669,True,-4.4800115972152526
5,MATH L5,0.25,ctrl_rank,12,1.075147112924545,0.19546826083129265,2.0992959109623905,False,-3.438164923728133
5,MATH L5,0.5,ctrl_rank,12,1.5146749390434404,0.323994539334611,2.8957576443087842,False,-3.5848632878623903
5,MATH L5,0.75,ctrl_rank,12,1.6594036640062768,0.5833699981463876,2.867562800832093,False,-2.8402394691171744
5,MATH L5,1.0,ctrl_rank,12,0.7801193745763157,0.0708583025712566,1.6465551346196972,False,-1.1632919474044077
6,AIME,0.0,ctrl_rank,12,1.2221442759037018,0.4045411619047324,2.1515014131863914,False,-2.5767558912436166
