tier,tier_label,f,condition,n,gap,lo,hi,includes_zero,clean_logprob
1,GSM8K,0.0,jspace,12,0.45174327231749584,-2.3050649250629553,2.6826268871625265,True,-4.369336498406483
1,GSM8K,0.25,jspace,12,0.36869452361376415,-1.3762061720806136,2.2205383246847004,True,-4.451034824409969
1,GSM8K,0.5,jspace,12,1.5210220261942595,-0.7888750681207359,3.7609023948859734,True,-4.50293586209106
1,GSM8K,0.75,jspace,12,1.7183283803751692,0.7219060497819253,2.722196081757527,False,-2.4384460132181025
1,GSM8K,1.0,jspace,12,1.439417219462058e-05,4.615780667275675e-06,2.6460547268277364e-05,False,-2.576211175941978e-06
2,MATH L1-2,0.0,jspace,12,0.3356662968484064,-1.8987397363176568,2.181672452654069,True,-3.9611817891709507
2,MATH L1-2,0.25,jspace,12,1.3611414805345703,-0.6447258459345903,3.039572612341727,True,-3.17542906847666
2,MATH L1-2,0.5,jspace,12,0.9830846702889181,-1.033334652478809,2.376233004357809,True,-2.7944765373234373
2,MATH L1-2,0.75,jspace,12,1.4180158619919894,-0.05436653571450354,2.6809863374920155,True,-2.5794295723399046
2,MATH L1-2,1.0,jspace,12,1.4908908657016013,0.6084295487673113,2.531331445606361,False,-1.1821266738480176
3,MATH L3,0.0,jspace,12,1.7040926438545132,0.5519525701199295,2.738952292477137,False,-4.362350342474883
3,MATH L3,0.25,jspace,12,1.599974216876338,0.8580864311036446,2.3165695268029594,False,-3.7579272147437828
3,MATH L3,0.5,jspace,12,2.1878301430948945,1.4167205841570953,2.978991668793545,False,-3.5702412496796874
3,MATH L3,0.75,jspace,12,2.0933565137365804,1.076177454749753,2.9985098643286623,False,-3.78512287014928
3,MATH L3,1.0,jspace,12,1.5926926396598635,0.6180891925512778,2.844750354319383,False,-2.1627300471141666
4,MATH L4,0.0,jspace,12,2.100926357520317,0.9876961514945529,3.2093392591091594,False,-3.6162113615185567
4,MATH L4,0.25,jspace,12,1.5556327002122998,0.4439759549917654,2.754802686154532,False,-3.3702370328828692
4,MATH L4,0.5,jspace,12,1.4242775596988697,0.6723490375870218,2.15945584946312,False,-2.9013039908992746
4,MATH L4,0.75,jspace,12,1.712978578429708,0.9148338674765304,2.4511879967994905,False,-2.942229304826469
4,MATH L4,1.0,jspace,12,0.9374624759401691,0.30751858580207836,1.5419727870425912,False,-1.4956249034210234
5,MATH L5,0.0,jspace,12,1.618746087015552,-0.36058883902776023,3.43062549971974,True,-4.4800115972152526
5,MATH L5,0.25,jspace,12,1.8322334844463815,1.0579207374617303,2.738719578801344,False,-3.438164923728133
5,MATH L5,0.5,jspace,12,2.05811882748579,1.1259197999179984,3.0379967837866086,False,-3.5848632878623903
5,MATH L5,0.75,jspace,12,1.898055477514087,1.0576220874858941,2.828128509495582,False,-2.8402394691171744
5,MATH L5,1.0,jspace,12,1.2210896945155885,0.38101822682104586,2.1734944237211193,False,-1.1632919474044077
6,AIME,0.0,jspace,12,2.466909815867742,1.4833165667951107,3.585511246820291,False,-2.5767558912436166
